product_id,product_name,category,subcategory,brand,price,description
P001,Wireless Earbuds,Electronics,Audio,TechNova,299,"Wireless Earbuds from TechNova, designed for audio needs with reliable quality and everyday usability."
P002,Bluetooth Speaker,Electronics,Audio,DigitalPro,899,"Bluetooth Speaker from DigitalPro, designed for audio needs with reliable quality and everyday usability."
P003,Noise Cancelling Headphones,Electronics,Audio,SoundMax,699,"Noise Cancelling Headphones from SoundMax, designed for audio needs with reliable quality and everyday usability."
P004,Smart Soundbar,Electronics,Audio,TechNova,2999,"Smart Soundbar from TechNova, designed for audio needs with reliable quality and everyday usability."
P005,Android Smartphone,Electronics,Mobile,TechNova,3999,"Android Smartphone from TechNova, designed for mobile needs with reliable quality and everyday usability."
P006,Budget Smartphone,Electronics,Mobile,SmartWave,299,"Budget Smartphone from SmartWave, designed for mobile needs with reliable quality and everyday usability."
P007,Power Bank,Electronics,Mobile,TechNova,499,"Power Bank from TechNova, designed for mobile needs with reliable quality and everyday usability."
P008,Fast Charger,Electronics,Mobile,SoundMax,899,"Fast Charger from SoundMax, designed for mobile needs with reliable quality and everyday usability."
P009,Mechanical Keyboard,Electronics,Computer,TechNova,2999,"Mechanical Keyboard from TechNova, designed for computer needs with reliable quality and everyday usability."
P010,Wireless Mouse,Electronics,Computer,SoundMax,2999,"Wireless Mouse from SoundMax, designed for computer needs with reliable quality and everyday usability."
P011,Laptop Stand,Electronics,Computer,SmartWave,899,"Laptop Stand from SmartWave, designed for computer needs with reliable quality and everyday usability."
P012,Webcam,Electronics,Computer,SmartWave,3999,"Webcam from SmartWave, designed for computer needs with reliable quality and everyday usability."
P013,Fitness Smartwatch,Electronics,Wearables,DigitalPro,299,"Fitness Smartwatch from DigitalPro, designed for wearables needs with reliable quality and everyday usability."
P014,Activity Tracker,Electronics,Wearables,SoundMax,1999,"Activity Tracker from SoundMax, designed for wearables needs with reliable quality and everyday usability."
P015,Smart Band,Electronics,Wearables,DigitalPro,1199,"Smart Band from DigitalPro, designed for wearables needs with reliable quality and everyday usability."
